loan_id,loan_amount,region
162743,16000,Midwest
162862,16000,Midwest
163062,16000,Midwest
166208,16000,Midwest
163385,16000,Midwest
166329,16000,Midwest
162032,16000,Midwest
163704,16000,Midwest
161835,16000,Midwest
166977,16000,Midwest
164877,16000,Midwest
167272,16000,Midwest
167374,16000,Midwest
165003,16000,Midwest
165132,16000,Midwest
167867,16000,Midwest
167879,16000,Midwest
168046,16000,Midwest
168102,16000,Midwest
165575,16000,Midwest
165643,16000,Midwest
168704,16000,Midwest
168780,16000,Midwest
165955,16000,Midwest
169077,16000,Midwest
169090,16000,Midwest
169334,16000,Midwest
162152,16000,Midwest
162194,16000,Midwest
162265,16000,Midwest
162482,16000,Midwest
162627,16000,Midwest
162811,16000,Midwest
162949,16000,Midwest
163009,16000,Midwest
163708,16000,Midwest
166494,16000,Midwest
166578,16000,Midwest
164198,16000,Midwest
166780,16000,Midwest
166816,16000,Midwest
166901,16000,Midwest
164804,16000,Midwest
167284,16000,Midwest
165030,16000,Midwest
167587,16000,Midwest
167558,16000,Midwest
165171,16000,Midwest
167729,16000,Midwest
165381,16000,Midwest
168235,16000,Midwest
168656,16000,Midwest
168753,16000,Midwest
168803,16000,Midwest
165856,16000,Midwest
169424,16000,Midwest
166147,16000,Midwest
162169,16000,Midwest
162898,16000,Midwest
162922,16000,Midwest
162918,16000,Midwest
162901,16000,Midwest
161874,16000,Midwest
163163,16000,Midwest
163193,16000,Midwest
163169,16000,Midwest
163226,16000,Midwest
163265,16000,Midwest
163298,16000,Midwest
163404,16000,Midwest
166282,16000,Midwest
163641,16000,Midwest
164230,16000,Midwest
164347,16000,Midwest
164418,16000,Midwest
164615,16000,Midwest
164643,16000,Midwest
167063,16000,Midwest
164834,16000,Midwest
161947,16000,Midwest
167413,16000,Midwest
167457,16000,Midwest
167508,16000,Midwest
167677,16000,Midwest
167770,16000,Midwest
167814,16000,Midwest
165344,16000,Midwest
165376,16000,Midwest
168309,16000,Midwest
168289,16000,Midwest
165710,16000,Midwest
169249,16000,Midwest
169561,16000,Midwest
166139,16000,Midwest
162720,16000,Midwest
163284,16000,Midwest
163483,16000,Midwest
163540,16000,Midwest
163563,16000,Midwest
161817,16000,Midwest
163739,16000,Midwest
163770,16000,Midwest
166561,16000,Midwest
167077,16000,Midwest
167142,16000,Midwest
162074,16000,Midwest
167252,16000,Midwest
164998,16000,Midwest
167399,16000,Midwest
167546,16000,Midwest
167631,16000,Midwest
165433,16000,Midwest
165509,16000,Midwest
168319,16000,Midwest
165611,16000,Midwest
165592,16000,Midwest
168514,16000,Midwest
165759,16000,Midwest
168663,16000,Midwest
165788,16000,Midwest
169189,16000,Midwest
162461,16000,Midwest
162782,16000,Midwest
163441,16000,Midwest
166336,16000,Midwest
163600,16000,Midwest
163620,16000,Midwest
163752,16000,Midwest
166452,16000,Midwest
163834,16000,Midwest
163964,16000,Midwest
166690,16000,Midwest
166713,16000,Midwest
166935,16000,Midwest
162066,16000,Midwest
167081,16000,Midwest
167324,16000,Midwest
165078,16000,Midwest
162081,16000,Midwest
165121,16000,Midwest
165147,16000,Midwest
167728,16000,Midwest
167858,16000,Midwest
165492,16000,Midwest
161960,16000,Midwest
168673,16000,Midwest
168853,16000,Midwest
168949,16000,Midwest
168983,16000,Midwest
169181,16000,Midwest
166059,16000,Midwest
162357,16000,Midwest
162389,16000,Midwest
162423,16000,Midwest
162818,16000,Midwest
163106,16000,Midwest
163507,16000,Midwest
163603,16000,Midwest
164122,16000,Midwest
164132,16000,Midwest
166687,16000,Midwest
166783,16000,Midwest
164446,16000,Midwest
164567,16000,Midwest
161892,16000,Midwest
167054,16000,Midwest
167065,16000,Midwest
164737,16000,Midwest
164772,16000,Midwest
164887,16000,Midwest
167244,16000,Midwest
167290,16000,Midwest
167463,16000,Midwest
167559,16000,Midwest
167769,16000,Midwest
167779,16000,Midwest
168423,16000,Midwest
168506,16000,Midwest
168632,16000,Midwest
165968,16000,Midwest
169161,16000,Midwest
169215,16000,Midwest
162157,16000,Midwest
162666,16000,Midwest
162703,16000,Midwest
162755,16000,Midwest
162781,16000,Midwest
162942,16000,Midwest
162999,16000,Midwest
163114,16000,Midwest
163181,16000,Midwest
163310,16000,Midwest
162029,16000,Midwest
163435,16000,Midwest
166362,16000,Midwest
166353,16000,Midwest
166522,16000,Midwest
164087,16000,Midwest
164487,16000,Midwest
166909,16000,Midwest
164672,16000,Midwest
167066,16000,Midwest
167122,16000,Midwest
164919,16000,Midwest
167442,16000,Midwest
161888,16000,Midwest
168484,16000,Midwest
168844,16000,Midwest
168895,16000,Midwest
169306,16000,Midwest
166107,16000,Midwest
169592,16000,Midwest
162204,16000,Midwest
162490,16000,Midwest
166237,16000,Midwest
163297,16000,Midwest
166302,16000,Midwest
166363,16000,Midwest
163618,16000,Midwest
164810,16000,Midwest
165120,16000,Midwest
165158,16000,Midwest
167761,16000,Midwest
167855,16000,Midwest
167963,16000,Midwest
168096,16000,Midwest
165458,16000,Midwest
168130,16000,Midwest
168185,16000,Midwest
168262,16000,Midwest
168438,16000,Midwest
168764,16000,Midwest
162106,16000,Midwest
169474,16000,Midwest
169500,16000,Midwest
162476,16000,Midwest
162628,16000,Midwest
162689,16000,Midwest
162724,16000,Midwest
162927,16000,Midwest
163034,16000,Midwest
163122,16000,Midwest
163673,16000,Midwest
164134,16000,Midwest
164183,16000,Midwest
164427,16000,Midwest
164486,16000,Midwest
166869,16000,Midwest
164572,16000,Midwest
167042,16000,Midwest
164671,16000,Midwest
167050,16000,Midwest
167489,16000,Midwest
167987,16000,Midwest
168373,16000,Midwest
168562,16000,Midwest
169086,16000,Midwest
162198,16000,Midwest
162475,16000,Midwest
162484,16000,Midwest
162542,16000,Midwest
162672,16000,Midwest
162019,16000,Midwest
163233,16000,Midwest
